,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),"(15,798 B)","1,507 B","44,813 B","15,551 B","(24,367 B)",(490 B),"75,823 B","45,545 B","21,771 B","39,299 B","57,262 B","44,583 B","66,689 B","32,588 B","97,506 B"
1,Capital expenditure (Annual),(640 B),(442 B),(512 B),(601 B),"(1,445 B)","(1,948 B)","(3,065 B)","(3,285 B)","(3,653 B)","(2,006 B)","(1,823 B)","(3,695 B)","(3,129 B)","(8,254 B)","(10,538 B)"
2,Free cash flow (Annual),"(16,437 B)","1,065 B","44,302 B","14,950 B","(25,813 B)","(2,438 B)","72,758 B","42,260 B","18,118 B","37,293 B","55,440 B","40,888 B","63,560 B","24,334 B","86,968 B"
3,Free cash flow per share (Annual),-1333.63,86.39,3591.65,606.02,-1046.35,-98.85,2949.35,1713.05,734.43,302.34,449.47,331.49,515.30,160.56,573.82
