,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
20,         Investasi Sewa Pembiayaa..., 16376000000.000000 , 10551000000.000000 , -2726000000.000000 , -6729000000.000000 , -95558000000.000000 , -79241000000.000000 , 16320000000.000000 , -8074000000.000000 , 14322000000.000000 , -19526000000.000000 , 5446000000.000000 , 25193000000.000000 , 51267000000.000000 , 10292000000.000000 , -38002000000.000000 
21,         Pembiayaan Syariah, - , - , -446420000000.000000 , -306969000000.000000 , -366959000000.000000 , -444778000000.000000 , -744767000000.000000 , -898909000000.000000 , -562567000000.000000 , -817728000000.000000 , -824972000000.000000 , -854413000000.000000 , -65298000000.000000 , -840578000000.000000 , -1456064000000.000000 
22,         Aset Lain-Lain, 573186000000.000000 , 250397000000.000000 , -18741000000.000000 , -85273000000.000000 , -1454558000000.000000 , 1251099000000.000000 , -62881000000.000000 , -1537618000000.000000 , 818537000000.000000 , -2500050000000.000000 , -3205118000000.000000 , 1065298000000.000000 , -2568705000000.000000 , 1059049000000.000000 , -25785000000.000000 
23,         Liabilitas Segera, 205837000000.000000 , -284287000000.000000 , 164367000000.000000 , 875736000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
24,         Simpanan Dari Nasabah, 23344452000000.000000 , 31219015000000.000000 , 31258163000000.000000 , 46070729000000.000000 , 48599248000000.000000 , 47110182000000.000000 , 39071373000000.000000 , 21477153000000.000000 , 56467413000000.000000 , 50981817000000.000000 , 46025884000000.000000 , 70428018000000.000000 , 135030737000000.000000 , 133511934000000.000000 , 55348155000000.000000 
25,         Dana Simpanan Syariah, - , - , 96608000000.000000 , 52019000000.000000 , 84185000000.000000 , 17333000000.000000 , 46686000000.000000 , 54835000000.000000 , 13088000000.000000 , 113943000000.000000 , 142617000000.000000 , 414211000000.000000 , 116126000000.000000 , 468387000000.000000 , 1205821000000.000000 
26,         Simpanan Dari Bank-Bank ..., 2413264000000.000000 , -1849219000000.000000 , 331512000000.000000 , 597409000000.000000 , -1094414000000.000000 , 1249964000000.000000 , 473331000000.000000 , 266025000000.000000 , 744889000000.000000 , 857472000000.000000 , 647637000000.000000 , 287817000000.000000 , 3474062000000.000000 , -206217000000.000000 , -2241366000000.000000 
27,         Utang Akseptasi, - , - , - , - , 1796174000000.000000 , -1300053000000.000000 , 158504000000.000000 , -323007000000.000000 , -187791000000.000000 , 1613329000000.000000 , 43009000000.000000 , -522237000000.000000 , -921204000000.000000 , 2244249000000.000000 , 3022354000000.000000 
28,         Beban Yang Masih Harus D..., - , - , - , - , 1875824000000.000000 , -476714000000.000000 , 106717000000.000000 , 1655877000000.000000 , 1638789000000.000000 , 2136940000000.000000 , 4126653000000.000000 , -702168000000.000000 , 4075180000000.000000 , 1372445000000.000000 , 2293350000000.000000 
29,         Dana Syirkah Temporer, - , - , 460165000000.000000 , 255343000000.000000 , 313504000000.000000 , 414891000000.000000 , 508596000000.000000 , 849908000000.000000 , 664601000000.000000 , 510708000000.000000 , 618023000000.000000 , 183291000000.000000 , 538599000000.000000 , 404360000000.000000 , 718387000000.000000 
