,In Million,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
40,Arus Kas Dari Aktivitas Pendana..., 28606761081.000000 , 682858125000.000000 , 736147000000.000000 , 6922891000000.000000 , -10624000000.000000 ,,,,
41,      Tambahan Modal Disetor, - , - , 24125000000.000000 , - , - , 682858125000.000000 , 100000000000.000000 , - , - 
42,      Agio Saham, - , - , 4481761081.000000 , - , - , - , - , - , - 
43,      Hasil Penawaran Umum Saha..., - , - , - , - , - , - , 644067000000.000000 , 6950000000000.000000 , - 
44,      Pembayaran Biaya Emisi Sa..., - , - , - , - , - , - , - , -16639000000.000000 , - 
45,      Pembayaran Liabilitas Sew..., - , - , - , - , - , - , -7920000000.000000 , -10470000000.000000 , -10624000000.000000 
46,      Biaya Emisi, - , - , - , - , - , - , - , - , - 
47,     &nbspTotal Arus Kas Dari Aktivitas...,-,-,28606761081.000000,-,-,682858125000.000000,736147000000.000000,6922891000000.000000,-10624000000.000000
48,Kenaikan (Penurunan) Bersih Kas..., 16674627491.000000 , -565323908.000000 , -9083139707.000000 , 17067868026.000000 , 55580874326.000000 , 2818731527.000000 , 144012000000.000000 , 970965000000.000000 , 41900000000.000000 
49,Kas Dan Setara Kas Awal Periode, 46218774508.000000 , 62893401998.000000 , 62328078089.000000 , 53244938383.000000 , 70312806409.000000 , 60703186296.000000 , 303494000000.000000 , 447506000000.000000 , 1418471000000.000000 
50,Kas Dan Setara Kas Akhir Period..., 62893401999.000000 , 62328078090.000000 , 53244938382.000000 , 70312806409.000000 , 125893680735.000000 , 63521917823.000000 , 447506000000.000000 , 1418471000000.000000 , 1460371000000.000000 
