,In Million,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),"(10,648 B)","(19,032 B)","(7,361 B)","(14,691 B)","(17,206 B)"
1,Capital expenditure (Annual),(756 B),"(1,254 B)","(1,526 B)","(1,138 B)",(452 B)
2,Free cash flow (Annual),"(11,405 B)","(20,285 B)","(8,887 B)","(15,829 B)","(17,658 B)"
3,Free cash flow per share (Annual),-8388730.38,-12058800.66,-5183170.36,-13.84,-14.91
