,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),0.42,1.42,2.18,2.46,3.02,2.74,2.08,1.21,1.88,1.61,2.62,1.67,1.61,1.65,1.19
1,Book Value Per Share (Annual),878.96,985.66,1441.90,1556.18,2039.61,445.77,456.29,526.42,775.03,807.08,819.29,918.62,910.57,1043.22,1087.11
2,Price to Tang. Book Value (Annual),0.42,1.42,2.19,2.51,3.06,2.78,2.11,1.22,1.89,1.63,2.66,1.70,1.64,1.67,1.21
3,Tang. Book Value Per Share (Annual),877.57,983.99,1440.13,1523.34,2006.77,439.20,449.71,519.84,768.88,798.54,807.75,901.77,894.96,1026.92,1070.72
4,Short-term Debt (Annual),"1,096 B",953 B,897 B,"2,585 B","2,628 B","2,963 B","2,495 B","2,067 B","2,260 B",798 B,"2,072 B","3,128 B","1,071 B","3,001 B","4,426 B"
5,Long-term Debt (Annual),"1,867 B","1,526 B","1,360 B",919 B,"2,106 B","4,650 B","4,746 B","4,761 B","3,609 B","5,272 B","4,867 B","5,497 B","6,786 B","7,150 B","8,429 B"
6,Total Debt (Annual),"2,963 B","2,479 B","2,258 B","3,504 B","4,733 B","7,613 B","7,240 B","6,828 B","5,869 B","6,071 B","6,938 B","8,625 B","7,856 B","10,151 B","12,855 B"
7,Net Debt (Annual),"2,535 B","1,955 B","1,496 B","2,677 B","3,861 B","5,867 B","6,472 B","5,927 B","3,168 B","4,429 B","5,851 B","7,688 B","6,520 B","9,066 B","11,044 B"
8,Working capital (Annual),"1,573 B","2,170 B","2,748 B","1,832 B","2,906 B","4,643 B","3,793 B","4,251 B","5,867 B","6,420 B","5,511 B","5,158 B","5,737 B","7,097 B","7,589 B"
