,In Million,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),"3,993 B",645 B,(200 B),"3,147 B","18,677 B","1,886 B"
1,Capital expenditure (Annual),(65 B),(62 B),(21 B),(72 B),(788 B),"(2,042 B)"
2,Free cash flow (Annual),"3,928 B",583 B,(222 B),"3,075 B","17,889 B",(156 B)
3,Free cash flow per share (Annual),992.55,60.00,-22.80,310.57,434.95,-3.39
