,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),1.27,0.79,1.31,1.40,5.05,7.95,7.10,4.17,4.09,2.48,2.86,2.76,3.89,3.79,4.05
1,Book Value Per Share (Annual),308.63,186.62,222.69,259.30,324.55,103.17,122.49,119.93,127.14,138.07,147.04,157.76,174.90,210.90,245.74
2,Price to Tang. Book Value (Annual),1.27,0.79,1.31,1.40,5.05,7.95,7.10,4.17,4.09,2.48,2.86,2.76,3.89,3.79,4.05
3,Tang. Book Value Per Share (Annual),308.63,186.62,222.69,259.30,324.55,103.17,122.49,119.93,127.14,138.07,147.04,157.76,174.90,210.90,245.74
4,Short-term Debt (Annual),113 B,126 B,137 B,102 B,72 B,33 B,49 B,203 B,139 B,76 B,65 B,47 B,30 B,20 B,50 B
5,Long-term Debt (Annual),176 B,205 B,137 B,74 B,32 B,25 B,-,3 B,75 B,60 B,30 B,-,-,-,-
6,Total Debt (Annual),289 B,330 B,274 B,176 B,104 B,59 B,49 B,207 B,215 B,137 B,95 B,47 B,30 B,20 B,50 B
7,Net Debt (Annual),279 B,328 B,234 B,166 B,59 B,27 B,1 B,202 B,211 B,77 B,(98 B),(302 B),(406 B),(583 B),(388 B)
8,Working capital (Annual),(64 B),(54 B),(9 B),4 B,46 B,93 B,192 B,10 B,166 B,285 B,351 B,414 B,581 B,847 B,916 B
