,In Million,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),(64 B),131 B,16 B,264 B,323 B,492 B,196 B,128 B,669 B,779 B,"1,073 B",576 B,"1,097 B","1,217 B","1,414 B",260 B
1,Capital expenditure (Annual),(43 B),(106 B),(110 B),(220 B),(300 B),(54 B),(95 B),(111 B),(269 B),(44 B),(352 B),(340 B),(304 B),(402 B),(252 B),(374 B)
2,Free cash flow (Annual),(107 B),25 B,(94 B),44 B,23 B,438 B,101 B,17 B,401 B,735 B,721 B,236 B,793 B,815 B,"1,162 B",(115 B)
3,Free cash flow per share (Annual),0.00,8.75,-32.68,15.06,7.93,151.62,34.99,5.79,138.74,254.57,62.38,20.44,68.64,70.52,100.61,-9.91
