,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),3.44,4.29,4.63,4.70,4.33,3.71,4.17,3.67,3.40,4.11,4.23,4.74,4.52,4.44,4.77
1,Book Value Per Share (Annual),944.20,1129.86,1383.40,1703.63,2102.08,2590.37,3150.80,3624.80,4560.25,5325.63,6151.27,7059.13,7487.17,1644.39,1792.89
2,Price to Tang. Book Value (Annual),3.44,4.29,4.63,4.70,4.33,3.71,4.17,3.67,3.40,4.11,4.25,4.77,4.56,4.47,4.80
3,Tang. Book Value Per Share (Annual),944.20,1129.86,1383.40,1703.63,2102.08,2590.37,3150.80,3624.80,4560.25,5325.63,6123.72,7003.26,7421.08,1631.56,1780.18
4,Short-term Debt (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Long-term Debt (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Total Debt (Annual),"1,071 B",852 B,"2,240 B","2,962 B","5,044 B","6,266 B","5,008 B","5,642 B","4,664 B","1,221 B","1,479 B","3,695 B","2,182 B","1,964 B","1,000 B"
7,Net Debt (Annual),"(9,727 B)","(8,013 B)","(7,399 B)","(7,394 B)","(6,010 B)","(10,018 B)","(14,570 B)","(12,208 B)","(11,280 B)","(15,533 B)","(20,212 B)","(21,726 B)","(22,141 B)","(21,651 B)","(20,360 B)"
8,Working capital (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
