,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),2.53,3.46,3.53,3.35,2.65,2.26,2.95,2.50,1.97,2.69,2.47,2.63,2.61,2.16,2.50
1,Book Value Per Share (Annual),1813.89,2210.68,2973.19,2017.68,2627.04,3209.01,3954.75,4573.84,5935.40,1351.88,1483.37,1672.72,1600.20,1905.10,1974.77
2,Price to Tang. Book Value (Annual),2.53,3.46,3.53,3.35,2.65,2.26,2.95,2.50,1.97,2.69,2.47,2.63,2.61,2.16,2.50
3,Tang. Book Value Per Share (Annual),1813.89,2210.68,2973.19,2017.68,2627.04,3209.01,3954.75,4573.84,5935.40,1351.88,1483.37,1672.72,1600.20,1905.10,1974.77
4,Short-term Debt (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Long-term Debt (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Total Debt (Annual),"4,049 B","5,911 B","4,476 B","4,620 B","4,538 B","7,324 B","1,590 B","1,004 B","2,711 B","2,375 B","3,612 B","3,300 B","3,746 B","1,402 B","2,572 B"
7,Net Debt (Annual),"(2,702 B)","(2,228 B)","(5,500 B)","(5,906 B)","(9,358 B)","(11,848 B)","(20,879 B)","(27,767 B)","(22,501 B)","(22,423 B)","(23,810 B)","(26,919 B)","(28,415 B)","(24,898 B)","(24,836 B)"
8,Working capital (Annual),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
