,In Million,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),12 B,(0 B),9 B,43 B,(98 B)
1,Capital expenditure (Annual),(70 B),(25 B),(6 B),(21 B),(228 B)
2,Free cash flow (Annual),(58 B),(25 B),3 B,22 B,(326 B)
3,Free cash flow per share (Annual),-290416.08,-126704.74,14452.33,2.37,-27.33
