,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),3 B,684 B,"1,098 B",(75 B),299 B,176 B,"1,571 B","1,453 B","2,754 B",771 B,"1,841 B","1,880 B","4,099 B",701 B,"1,427 B"
1,Capital expenditure (Annual),(378 B),(319 B),(612 B),(993 B),"(1,373 B)","(1,569 B)","(1,613 B)",(721 B),(797 B),"(1,547 B)","(2,283 B)","(3,127 B)","(1,737 B)","(1,634 B)","(2,111 B)"
2,Free cash flow (Annual),(375 B),365 B,486 B,"(1,068 B)","(1,074 B)","(1,394 B)",(43 B),732 B,"1,957 B",(776 B),(442 B),"(1,247 B)","2,362 B",(933 B),(684 B)
3,Free cash flow per share (Annual),-251.88,171.37,227.91,-500.85,-503.67,-130.73,-4.00,68.64,171.50,-68.01,-37.73,-106.34,201.43,-79.56,-58.32
