,In Million,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),57 B,(11 B),(76 B),41 B,(86 B),134 B,(327 B),"(3,787 B)","1,505 B"
1,Capital expenditure (Annual),(3 B),(3 B),(3 B),(1 B),(1 B),(2 B),(51 B),(31 B),(24 B)
2,Free cash flow (Annual),54 B,(14 B),(79 B),40 B,(87 B),133 B,(378 B),"(3,817 B)","1,481 B"
3,Free cash flow per share (Annual),562.68,-14.52,-65.39,33.23,-72.40,110.08,-34.85,-275.49,106.85
