,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Operating Cash Flow (Annual),91 B,88 B,115 B,144 B,238 B,279 B,239 B,112 B,96 B,246 B,357 B,369 B,420 B,499 B,466 B
1,Capital expenditure (Annual),(22 B),(33 B),(19 B),(24 B),(67 B),(159 B),(89 B),(83 B),(75 B),(74 B),(90 B),(44 B),(84 B),(115 B),(176 B)
2,Free cash flow (Annual),69 B,55 B,96 B,120 B,170 B,119 B,149 B,29 B,21 B,172 B,266 B,325 B,336 B,385 B,289 B
3,Free cash flow per share (Annual),75.53,29.94,52.57,65.29,92.83,16.27,20.36,3.89,2.81,23.43,36.27,44.26,45.71,52.37,39.38
