,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Price to Book Value (Annual),2.04,1.41,2.70,2.23,2.30,6.51,4.77,4.10,3.80,3.66,3.35,3.50,3.94,3.59,2.97
1,Book Value Per Share (Annual),393.07,412.54,449.37,484.42,579.14,691.75,780.65,962.77,1202.57,353.56,403.36,480.24,405.58,436.85,496.71
2,Price to Tang. Book Value (Annual),2.04,1.41,2.70,2.23,2.32,6.57,4.79,4.12,3.81,3.67,3.35,3.50,3.95,3.60,2.97
3,Tang. Book Value Per Share (Annual),393.07,412.54,449.37,484.42,572.94,685.28,775.84,958.01,1199.61,352.84,402.53,479.65,405.09,436.50,496.46
4,Short-term Debt (Annual),174 B,133 B,192 B,160 B,72 B,53 B,9 B,3 B,3 B,3 B,61 B,39 B,"1,509 B",913 B,607 B
5,Long-term Debt (Annual),143 B,138 B,187 B,96 B,31 B,-,-,-,-,2 B,19 B,-,"1,520 B",609 B,4 B
6,Total Debt (Annual),317 B,270 B,379 B,256 B,103 B,53 B,9 B,3 B,3 B,5 B,80 B,39 B,"3,029 B","1,522 B",611 B
7,Net Debt (Annual),154 B,56 B,(4 B),13 B,(433 B),(558 B),(480 B),(847 B),"(1,519 B)","(2,116 B)","(1,364 B)","(2,001 B)","1,379 B",(77 B),(638 B)
8,Working capital (Annual),381 B,429 B,478 B,316 B,604 B,932 B,"1,151 B","1,542 B","2,281 B","2,619 B","2,158 B","2,880 B","3,266 B","3,288 B","3,161 B"
